Signature,Text,Name
C66_95-0578,"Helene-Weigel-Platz Berlin-Marzahn
""Blick aus Biesdorf in Richtung Helene-Weigel-Platz (Marzahn), über die Dächer der Clubgaststätte und Kaufhalle """"Biesdorfer Kreuz""""""","Alex75 (Zooniverse/Talk)
Sebastian79 (Zooniverse/Talk)"
C66_95-0579,vermutlich: Blick vom Kienberg über die Wuhle auf das Wohngebiet Eisenacher Str./Gothaer Str./Suhler Str. in Hellersdorf.,Sebastian79 (Zooniverse/Talk)
C66_95-0622,Modell für die Neubebauung Friedrichstraße 173 in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C66_95-0623,Modell zur Neubebauung der Friedrichstraße (172) in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C66_95-0625,Modell vom früheren Centrum-Warenhaus am S-Bahnhof Ostbahnhof in Berlin-Friedrichshain,Alex75 (Zooniverse/Talk)
C66_95-0647,Blick auf die Neubauten an der Wallstraße in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C66_95-0648,Blick über Marzahn - Neubaugebiet am Springpfuhl,Alex75 (Zooniverse/Talk)
C66_95-0654,"Modell zur Neubebauung des Bersarinplatzes in Berlin-Friedrichshain, Anfang der 80er Jahre
Das Bild ist allerdings seitenverkehrt!","Alex75 (Zooniverse/Talk)
aladst78"
C66_95-0661,Greifswalder Straße 55 in Berlin,Alex 75 (Zooniverse/Talk)
C66_95-0662,"Blick Greifswalder Straße 51, John-Schehr-Straße 2, 10405 Berlin",Alex75 (Zooniverse/Talk)
C66_95-0734,Helene-Weigel-Platz / Allee der Kosmonauten / Blick auf das frühere Kino Sojus in Berlin-Marzahn,Alex75 (Zooniverse/Talk)
C66_95-0736,"Blick über Marzahn vom Hochhaus Marschwitzastr. über die WBS70 zu den Zehngeschosser QP71, dahinter die Allee der Kosmonauten. Links eines der ersten in Marzahn fertiggestellten Plattenbauten, hinter dem erkennbaren Durchgang befindet sich heute noch das Denkmal, die Richtkrone aus Beton. Ganz links mittig das Kino Sojus, die beiden Hochhäuser WHHPlatte befinden sich am Springpfuhl. Rechts oben Hochhäuser an der Geißenweide. Aufnahme ca 80er Jahre.
""Der ungefähre heutige Blickwinkel:

https://www.bing.com/maps?osid=bd46f782-d98b-423d-b79f-65957ec038c7&cp=52.526326~13.542624&lvl=17&style=g&pi=60&v=2&sV=2&form=S00027

https://goo.gl/maps/jTWuMzMFbFsKb4i99""","Fornax88 (Zooniverse/Talk)
J.Kun (Zooniverse/Talk)"
C66_95-0738,Blick auf die Neubauten an der Stralauer Allee 21 in Berlin-Friedrichshain,Alex75 (Zooniverse/Talk)
D2_1-00092,"""Leipzig, Karl-Marx-Platz, heute Augustusplatz, im Vordergrund der Mendebrunnen mit Obelisk, mittig das Opernhaus, rechts die Wohnbebauung am Ring. im Hintergrund das Wohnhochhaus Wintergartenstraße mit dem MM für """"Mustermesse"""" obendrauf, links das Kroch-Hochhaus in der Goethestraße mit den beiden Glockenmännern auf dem Dach""",LissyMD
D2_1-01714,"Zwickau, Gewandhaus, wohl an einem 1. Mai",LissyMD
C004_34_1-027,Blick auf das Verlagshaus der Berliner Zeitung am Alexanderplatz / Karl-Liebknecht-Straße (Berlin),Alex75 (Zooniverse/Talk)
C004_34_1-040,"""Blick auf das früheren HO-Handelshaus in Berlin-Hohenschönhausen an der Falkenberger Chaussee / Zingster Straße; heute Standort des """"Lindencenters""""""",Alex75 (Zooniverse/Talk)
C004_34_1-039,"""Eingangsbereich zum HO-Handelszentrum """"Handelshaus"""" in Berlin-Hohenschönhausen Zingster Str./Falkenberger Chaussee, heute Standort des """"Lindencenter""""""",Alex75 (Zooniverse/Talk)
C004_34_1-056,"""frühere Kaufhalle """"Storchenhof"""" in Berlin-Alt-Hohenschönhausen Hauptstr.""",Alex75
C004_34_1-057,"""frühere Kaufhalle """"Storchenhof"""" in Berlin-Alt-Hohenschönhausen Hauptstr.""",Alex75
C004_34_1-038,früheres HO-Kaufhaus in Berlin-Neuhohenschönhausen / heutiger Standort des Lindencenters an der Falkenberger Chaussee / Zingster Straße,Alex75 (Zooniverse/Talk)
C004_34_1-083,Bus- und Straßenbahnhof in Berlin-Lichtenberg - Siegfriedstraße 33,Alex75 (Zooniverse/Talk)
C004_34_1-088,Wandgemälde – Nicaragua in der Nähe S-Bahnhof Lichtenberg / Giebelwand des Hauses am Monimbóplatz,Alex75 (Zooniverse/Talk)
C004_34_1-097,"Blick auf die Neubauten - Frankfurter Allee - wahrscheinlich Hausnummer 209 in 10365 Berlin, 80er Jahre",Alex75 (Zooniverse/Talk)
C105-01832,früherer Kindergarten auf der Dachterrasse der Rathauspassagen an der heutigen Grunerstraße in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C105-01888,"Halle-Neustadt, Taubenbrunnen",LissyMD
C105-02155,"Rostock-Warnemünde, Hotel Neptun, Haupteingang mit Publikum, ca. 1980",rogger.falk (Zooniverse/Talk)
C004_33_10-006,vermutlich Neubauten an der Wilhelmstraße in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C004_33_10-009,Neubauten am früheren Grenzverlauf an der Mauer Nähe Brandenburger Tor - Blick von der heutigen Gertrud-Kolmar-Straße 25,Alex75 (Zooniverse/Talk)
C004_33_6-090,Blick aus der Münzstraße auf Neubauten in der Alte Schönhauser Straße (von rechts) bzw. Weinmeisterstraße (geradeaus),Alex75 (Zooniverse/Talk)
C004_33_6-091,Blick in die Münzstraße 22 in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C004_33_6-092,"Dircksenstraße 38, 10178 Berlin-Mitte, heute Sitz der WBM – Wohnungsbaugesellschaft Berlin-Mitte mbH",Alex75 (Zooniverse/Talk)
C004_33_6-094,Blick auf das Hotel Stadt Berlin am Berliner Alexanderplatz,Alex75 (Zooniverse/Talk)
C004_33_6-108,"Blick auf die Schlossbrücke, dahinter das frühere DDR-Außenministerium und dahinter die Friedrichswerdersche Kirche",Alex75 (Zooniverse/Talk)
C004_33_7-012,Blick auf das frühere Staatsratgebäude und die Schlossbrücke in Berlin-Mitte,Alex75 (Zooniverse/Talk)





Test1,https://gogle.com,_
Test2,Hallo ich heiße Michel,_
Test3,Hallo!! ich heiße Michel??????,_
Test4,Hallo!!?,_
Test5, 😗 😙 😚 😋 😛,_
Test6,:-) :)) Hallo was ist das hier? ;),_
Test7,ICH HASSE ES IM INTERNET ZU SCHREIBEN!!!! Ne Scherz, aber vlt schon..,_
